,employeeid,attrition,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time,attrition pred
10,11.0,0,45.0,Travel_Rarely,Research & Development,17.0,2,Medical,1.0,Male,2,Laboratory Technician,Married,79910.0,0.0,Y,13.0,8.0,2,21.0,2.0,20.0,4.0,10.0,3.0,4.0,3.0,2,3,8.403485477178425,0
11,12.0,0,36.0,Travel_Rarely,Research & Development,28.0,1,Life Sciences,1.0,Male,1,Laboratory Technician,Married,33770.0,0.0,Y,12.0,8.0,2,16.0,2.0,15.0,10.0,11.0,3.0,4.0,3.0,3,3,7.0689545873674495,0
12,13.0,0,55.0,Travel_Rarely,Research & Development,14.0,4,Life Sciences,1.0,Female,1,Sales Executive,Single,55380.0,0.0,Y,17.0,8.0,0,37.0,2.0,36.0,4.0,13.0,4.0,1.0,3.0,3,3,9.301409509946629,0
13,14.0,1,47.0,Non-Travel,Research & Development,1.0,1,Medical,1.0,Male,1,Research Scientist,Married,57620.0,1.0,Y,11.0,8.0,2,10.0,4.0,10.0,9.0,9.0,1.0,2.0,2.0,2,3,9.399931442080378,1
14,15.0,0,28.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,1,Manufacturing Director,Married,25920.0,1.0,Y,14.0,8.0,0,5.0,2.0,5.0,0.0,4.0,4.0,4.0,2.0,3,3,6.089687644075612,0
15,16.0,0,37.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,2,Healthcare Representative,Married,53460.0,4.0,Y,11.0,8.0,0,7.0,2.0,5.0,0.0,1.0,3.0,4.0,4.0,3,3,6.705174636661979,0
16,17.0,0,21.0,Travel_Rarely,Research & Development,3.0,2,Life Sciences,1.0,Male,1,Laboratory Technician,Single,42130.0,1.0,Y,12.0,8.0,3,3.0,3.0,3.0,1.0,0.0,4.0,3.0,4.0,2,3,6.61904062652961,0
17,18.0,0,37.0,Non-Travel,Research & Development,1.0,3,Medical,1.0,Male,2,Sales Executive,Divorced,41270.0,2.0,Y,13.0,8.0,1,15.0,2.0,5.0,0.0,2.0,1.0,4.0,3.0,3,3,11.01432813911473,0
18,19.0,0,35.0,Travel_Rarely,Sales,7.0,4,Life Sciences,1.0,Male,1,Sales Representative,Divorced,24380.0,7.0,Y,16.0,8.0,0,10.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,2,3,6.960253831417621,0
19,20.0,0,38.0,Travel_Rarely,Research & Development,8.0,3,Life Sciences,1.0,Female,1,Manager,Divorced,68700.0,1.0,Y,11.0,8.0,1,8.0,5.0,8.0,7.0,7.0,1.0,1.0,3.0,3,3,9.293555796055797,0
20,21.0,0,26.0,Travel_Frequently,Research & Development,1.0,4,Other,1.0,Male,2,Laboratory Technician,Divorced,104470.0,1.0,Y,18.0,8.0,0,6.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0,3,3,7.590778256704984,0
21,22.0,0,50.0,Travel_Rarely,Sales,8.0,4,Life Sciences,1.0,Male,1,Research Scientist,Divorced,96670.0,3.0,Y,23.0,8.0,0,28.0,2.0,10.0,1.0,6.0,1.0,2.0,2.0,2,4,6.008613495469727,0
22,23.0,0,53.0,Travel_Rarely,Research & Development,11.0,4,Life Sciences,1.0,Female,2,Research Scientist,Married,21480.0,3.0,Y,11.0,8.0,0,21.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,3,3,8.4021084770115,0
23,24.0,0,42.0,Travel_Rarely,Research & Development,4.0,4,Life Sciences,1.0,Male,1,Manufacturing Director,Married,89260.0,1.0,Y,14.0,8.0,0,10.0,4.0,20.0,11.0,6.0,2.0,3.0,3.0,1,3,6.807005280073463,0
24,25.0,0,29.0,Travel_Frequently,Research & Development,16.0,4,Medical,1.0,Male,1,Laboratory Technician,Single,65130.0,1.0,Y,11.0,8.0,1,10.0,2.0,10.0,0.0,9.0,2.0,4.0,2.0,3,3,7.093167388167388,0
25,26.0,0,55.0,Travel_Rarely,Research & Development,1.0,4,Other,1.0,Female,1,Research Scientist,Married,67990.0,3.0,Y,11.0,8.0,0,12.0,2.0,10.0,0.0,8.0,2.0,4.0,3.0,3,3,9.362002074688798,0
26,27.0,0,26.0,Travel_Frequently,Research & Development,9.0,3,Life Sciences,1.0,Female,1,Manager,Married,162910.0,1.0,Y,22.0,8.0,0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,3,4,10.97712343096233,0
27,28.0,0,37.0,Travel_Rarely,Sales,5.0,1,Marketing,1.0,Male,1,Research Scientist,Single,27050.0,1.0,Y,11.0,8.0,0,17.0,2.0,17.0,5.0,7.0,4.0,4.0,3.0,3,3,7.604444444444441,0
28,29.0,1,44.0,Travel_Frequently,Research & Development,1.0,2,Medical,1.0,Male,2,Research Scientist,Divorced,103330.0,3.0,Y,14.0,8.0,1,19.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2,3,10.977585733882028,1
29,30.0,0,38.0,Travel_Rarely,Sales,2.0,3,Marketing,1.0,Female,1,Manager,Divorced,44480.0,9.0,Y,12.0,8.0,0,10.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2,3,6.831275362318841,0
30,31.0,1,26.0,Travel_Rarely,Research & Development,4.0,3,Medical,1.0,Male,3,Research Scientist,Divorced,68540.0,2.0,Y,11.0,8.0,0,5.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0,2,3,10.10940826330532,1
31,32.0,0,28.0,Travel_Rarely,Research & Development,7.0,3,Other,1.0,Male,1,Human Resources,Single,96370.0,1.0,Y,13.0,8.0,0,5.0,6.0,5.0,0.0,2.0,4.0,4.0,3.0,2,3,6.709665977961435,0
32,33.0,0,49.0,Travel_Frequently,Research & Development,1.0,1,Medical,1.0,Female,2,Research Scientist,Single,35910.0,9.0,Y,13.0,8.0,0,22.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3,3,10.518214624881294,0
33,34.0,0,36.0,Travel_Rarely,Sales,5.0,3,Technical Degree,1.0,Male,3,Sales Executive,Single,54050.0,4.0,Y,14.0,8.0,0,10.0,2.0,8.0,7.0,7.0,3.0,2.0,3.0,3,3,6.1828875171467805,0
34,35.0,0,31.0,Travel_Frequently,Research & Development,9.0,4,Medical,1.0,Male,1,Sales Executive,Divorced,46840.0,1.0,Y,16.0,8.0,1,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3,3,6.58638888888889,0
35,36.0,1,26.0,Travel_Rarely,Research & Development,8.0,3,Medical,1.0,Male,2,Manager,Single,157870.0,1.0,Y,12.0,8.0,2,8.0,5.0,8.0,7.0,4.0,4.0,4.0,3.0,3,3,10.272241379310357,1
36,37.0,0,37.0,Travel_Frequently,Sales,9.0,1,Marketing,1.0,Male,1,Laboratory Technician,Married,15140.0,1.0,Y,14.0,8.0,0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,3,3,9.982733011937556,0
37,38.0,0,42.0,Travel_Frequently,Sales,2.0,2,Marketing,1.0,Male,3,Research Director,Married,29560.0,5.0,Y,13.0,8.0,0,23.0,2.0,20.0,4.0,8.0,3.0,2.0,4.0,3,3,5.979567632850237,0
38,39.0,1,18.0,Travel_Rarely,Research & Development,1.0,4,Life Sciences,1.0,Male,1,Sales Executive,Single,23350.0,1.0,Y,14.0,8.0,2,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,2,3,6.775967939304944,1
39,40.0,0,35.0,Travel_Rarely,Sales,20.0,2,Life Sciences,1.0,Male,1,Laboratory Technician,Married,51540.0,0.0,Y,19.0,8.0,0,12.0,2.0,11.0,6.0,9.0,3.0,2.0,2.0,2,3,7.69016039051604,0
40,41.0,0,36.0,Travel_Frequently,Research & Development,8.0,3,Other,1.0,Female,3,Sales Executive,Married,69620.0,4.0,Y,12.0,8.0,2,4.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,2,3,7.204732468123861,0
41,42.0,0,51.0,Travel_Rarely,Research & Development,2.0,3,Life Sciences,1.0,Male,2,Laboratory Technician,Divorced,56750.0,5.0,Y,13.0,8.0,0,13.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2,3,7.594769503546106,0
42,43.0,0,41.0,Travel_Rarely,Research & Development,29.0,1,Life Sciences,1.0,Male,1,Laboratory Technician,Single,23790.0,1.0,Y,12.0,8.0,0,22.0,6.0,22.0,0.0,4.0,4.0,2.0,3.0,3,3,6.952642332415064,0
43,44.0,0,18.0,Travel_Rarely,Sales,7.0,3,Life Sciences,1.0,Male,1,Research Scientist,Single,38120.0,1.0,Y,15.0,8.0,0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,3,3,7.008878472222221,0
44,45.0,0,28.0,Travel_Rarely,Research & Development,9.0,3,Medical,1.0,Male,1,Sales Representative,Single,46480.0,0.0,Y,23.0,8.0,2,9.0,2.0,8.0,0.0,7.0,2.0,1.0,3.0,2,4,7.2015733151184005,0
45,46.0,0,31.0,Travel_Rarely,Research & Development,8.0,1,Technical Degree,1.0,Male,1,Manufacturing Director,Married,29360.0,4.0,Y,12.0,8.0,1,10.0,2.0,8.0,7.0,7.0,2.0,4.0,2.0,3,3,7.172875000000004,0
46,47.0,0,39.0,Travel_Rarely,Sales,5.0,4,Marketing,1.0,Female,2,Human Resources,Divorced,21050.0,0.0,Y,20.0,8.0,0,19.0,3.0,18.0,3.0,7.0,3.0,4.0,2.0,3,4,7.63680141843972,0
47,48.0,0,36.0,Non-Travel,Research & Development,5.0,4,Life Sciences,1.0,Male,1,Sales Executive,Married,85780.0,7.0,Y,21.0,8.0,0,11.0,4.0,9.0,0.0,8.0,2.0,2.0,3.0,3,4,7.832781293952177,0
48,49.0,0,32.0,Travel_Rarely,Sales,2.0,3,Marketing,1.0,Male,2,Laboratory Technician,Married,27060.0,1.0,Y,21.0,8.0,1,13.0,4.0,13.0,4.0,8.0,4.0,3.0,2.0,3,4,6.974765051395007,0
49,50.0,0,38.0,Travel_Rarely,Research & Development,5.0,2,Life Sciences,1.0,Female,3,Research Scientist,Married,63840.0,3.0,Y,19.0,8.0,2,19.0,4.0,10.0,0.0,1.0,1.0,2.0,3.0,2,3,6.906424220272908,0
50,51.0,0,58.0,Non-Travel,Research & Development,2.0,3,Life Sciences,1.0,Male,2,Manufacturing Director,Divorced,39680.0,2.0,Y,13.0,8.0,2,12.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,2,3,10.895463728191,0
51,52.0,0,31.0,Travel_Rarely,Research & Development,20.0,1,Technical Degree,1.0,Female,3,Research Scientist,Married,99070.0,0.0,Y,13.0,8.0,1,6.0,3.0,5.0,0.0,3.0,3.0,4.0,3.0,2,3,9.125665729020168,0
52,53.0,0,31.0,Travel_Rarely,Sales,7.0,4,Marketing,1.0,Male,2,Sales Executive,Married,132250.0,3.0,Y,21.0,8.0,1,9.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3,4,6.831459786145981,0
53,54.0,0,45.0,Travel_Frequently,Research & Development,3.0,1,Medical,1.0,Female,1,Sales Executive,Divorced,35400.0,1.0,Y,13.0,8.0,0,24.0,6.0,24.0,9.0,11.0,1.0,1.0,3.0,3,3,7.316049905838043,0
54,55.0,0,31.0,Travel_Rarely,Sales,16.0,4,Marketing,1.0,Female,2,Research Scientist,Divorced,28040.0,0.0,Y,19.0,8.0,2,3.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,3,3,8.610798041894355,0
55,56.0,0,33.0,Travel_Frequently,Research & Development,9.0,3,Life Sciences,1.0,Male,4,Research Director,Married,193920.0,6.0,Y,12.0,8.0,1,12.0,3.0,10.0,8.0,8.0,4.0,2.0,3.0,3,3,6.784845288326301,0
56,57.0,0,39.0,Travel_Rarely,Sales,1.0,4,Life Sciences,1.0,Male,1,Sales Executive,Married,196650.0,1.0,Y,22.0,8.0,1,21.0,6.0,21.0,11.0,10.0,3.0,1.0,3.0,3,4,10.98609977324263,0
57,58.0,0,43.0,Travel_Frequently,Research & Development,7.0,4,Medical,1.0,Male,4,Research Scientist,Single,24390.0,0.0,Y,15.0,8.0,0,9.0,2.0,8.0,1.0,7.0,3.0,4.0,3.0,3,3,7.686584679393045,0
58,59.0,0,49.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,3,Manufacturing Director,Single,73140.0,7.0,Y,22.0,8.0,0,25.0,2.0,7.0,0.0,7.0,3.0,3.0,3.0,3,4,9.948856881572926,0
59,60.0,1,52.0,Travel_Rarely,Research & Development,7.0,1,Life Sciences,1.0,Female,2,Research Scientist,Married,47740.0,2.0,Y,18.0,8.0,1,11.0,2.0,8.0,7.0,7.0,3.0,2.0,2.0,3,3,7.905527661552767,1
60,61.0,0,27.0,Travel_Rarely,Research & Development,15.0,4,Medical,1.0,Male,3,Research Scientist,Single,39020.0,1.0,Y,22.0,8.0,0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3,4,10.672414617486345,0
61,62.0,0,32.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,3,Research Scientist,Married,26620.0,1.0,Y,11.0,8.0,1,13.0,6.0,13.0,11.0,9.0,3.0,2.0,3.0,4,3,10.496171548117148,0
62,63.0,0,27.0,Travel_Rarely,Research & Development,13.0,2,Medical,1.0,Female,4,Research Director,Single,28560.0,1.0,Y,12.0,8.0,2,5.0,5.0,5.0,0.0,4.0,4.0,3.0,3.0,4,3,10.069261664261662,0
63,64.0,0,31.0,Travel_Rarely,Sales,24.0,3,Life Sciences,1.0,Male,2,Healthcare Representative,Divorced,10810.0,4.0,Y,11.0,8.0,3,13.0,4.0,7.0,1.0,7.0,4.0,4.0,3.0,4,3,6.607014174668497,0
64,65.0,0,32.0,Travel_Rarely,Research & Development,7.0,3,Technical Degree,1.0,Male,2,Healthcare Representative,Single,24720.0,7.0,Y,13.0,8.0,0,10.0,2.0,7.0,0.0,7.0,1.0,4.0,2.0,3,3,7.497914908579468,0
65,66.0,1,28.0,Travel_Rarely,Research & Development,9.0,4,Medical,1.0,Male,1,Sales Executive,Married,56730.0,5.0,Y,14.0,8.0,1,5.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2,3,10.727235717498877,1
66,67.0,0,30.0,Travel_Rarely,Research & Development,13.0,3,Life Sciences,1.0,Female,4,Research Director,Married,41970.0,1.0,Y,13.0,8.0,0,11.0,3.0,10.0,1.0,9.0,4.0,4.0,3.0,3,3,6.184816810344828,0
67,68.0,0,31.0,Travel_Frequently,Research & Development,2.0,1,Life Sciences,1.0,Female,1,Manager,Married,97130.0,1.0,Y,17.0,8.0,0,10.0,5.0,10.0,8.0,9.0,3.0,3.0,3.0,2,3,6.609300048947632,0
68,69.0,0,39.0,Travel_Frequently,Research & Development,19.0,4,Medical,1.0,Female,1,Research Scientist,Married,20620.0,1.0,Y,13.0,8.0,0,21.0,4.0,21.0,13.0,3.0,3.0,4.0,3.0,3,3,6.076246345029246,0
69,70.0,1,39.0,Travel_Rarely,Research & Development,1.0,1,Medical,1.0,Female,1,Laboratory Technician,Married,42840.0,4.0,Y,17.0,8.0,1,12.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,3,3,9.971745709123756,1
70,71.0,0,33.0,Travel_Frequently,Sales,4.0,2,Life Sciences,1.0,Male,4,Research Scientist,Single,47880.0,3.0,Y,11.0,8.0,1,9.0,0.0,7.0,0.0,1.0,2.0,4.0,2.0,3,3,7.421452020202019,0
71,72.0,0,47.0,Travel_Rarely,Research & Development,4.0,3,Life Sciences,1.0,Female,2,Healthcare Representative,Married,59060.0,4.0,Y,23.0,8.0,0,21.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,4,4,6.493810013717424,0
72,73.0,0,43.0,Travel_Frequently,Research & Development,14.0,3,Medical,1.0,Female,5,Research Director,Divorced,38860.0,1.0,Y,17.0,8.0,2,9.0,2.0,9.0,0.0,0.0,3.0,3.0,4.0,3,3,6.299470449172581,0
73,74.0,0,27.0,Non-Travel,Research & Development,2.0,3,Life Sciences,1.0,Male,1,Research Director,Married,168230.0,0.0,Y,17.0,8.0,0,6.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,3,3,9.316973304473308,0
74,75.0,0,54.0,Travel_Frequently,Research & Development,1.0,4,Life Sciences,1.0,Male,2,Research Scientist,Single,29330.0,3.0,Y,12.0,8.0,2,20.0,2.0,4.0,0.0,3.0,4.0,3.0,2.0,3,3,6.097862787356321,0
75,76.0,0,43.0,Travel_Rarely,Research & Development,7.0,2,Life Sciences,1.0,Female,2,Manager,Married,65000.0,8.0,Y,23.0,8.0,0,10.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,3,4,7.217327264239031,0
76,77.0,0,45.0,Travel_Rarely,Sales,3.0,1,Marketing,1.0,Female,1,Sales Executive,Married,171740.0,9.0,Y,14.0,8.0,1,12.0,6.0,10.0,9.0,8.0,4.0,4.0,3.0,3,3,7.100070018365477,0
77,78.0,0,40.0,Travel_Rarely,Research & Development,2.0,4,Other,1.0,Male,4,Research Scientist,Married,50330.0,2.0,Y,14.0,8.0,2,6.0,6.0,4.0,0.0,2.0,2.0,4.0,2.0,3,3,9.914107744107737,0
78,79.0,1,29.0,Travel_Rarely,Research & Development,29.0,3,Medical,1.0,Female,1,Research Scientist,Married,23070.0,1.0,Y,13.0,8.0,1,7.0,0.0,7.0,0.0,7.0,2.0,1.0,2.0,3,3,10.477788647343004,1
79,80.0,0,29.0,Travel_Rarely,Human Resources,8.0,3,Medical,1.0,Male,3,Sales Representative,Single,25870.0,0.0,Y,22.0,8.0,2,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3,4,6.906938633193863,0
80,81.0,0,30.0,Travel_Rarely,Research & Development,10.0,3,Life Sciences,1.0,Male,2,Research Scientist,Divorced,55070.0,1.0,Y,12.0,8.0,2,10.0,2.0,10.0,1.0,2.0,4.0,3.0,3.0,2,3,7.58909243295019,0
81,82.0,0,27.0,Travel_Rarely,Research & Development,11.0,2,Medical,1.0,Male,1,Manager,Married,43930.0,1.0,Y,18.0,8.0,1,8.0,2.0,8.0,0.0,7.0,2.0,2.0,3.0,2,3,6.079724499089256,0
82,83.0,0,37.0,Travel_Rarely,Sales,1.0,4,Life Sciences,1.0,Male,2,Healthcare Representative,Divorced,133480.0,7.0,Y,14.0,8.0,0,8.0,4.0,6.0,0.0,4.0,4.0,4.0,2.0,3,3,6.001112288135594,0
83,84.0,0,38.0,Travel_Rarely,Research & Development,28.0,4,Medical,1.0,Male,1,Laboratory Technician,Divorced,65830.0,0.0,Y,12.0,8.0,0,12.0,1.0,11.0,2.0,9.0,3.0,4.0,3.0,3,3,8.983123278236906,0
84,85.0,0,31.0,Travel_Rarely,Research & Development,6.0,3,Medical,1.0,Female,3,Manager,Single,81030.0,1.0,Y,15.0,8.0,1,11.0,5.0,11.0,4.0,10.0,3.0,4.0,3.0,3,3,10.426184640522866,0
85,86.0,0,29.0,Travel_Rarely,Research & Development,3.0,4,Life Sciences,1.0,Male,3,Sales Executive,Divorced,39780.0,1.0,Y,11.0,8.0,0,7.0,0.0,7.0,1.0,7.0,4.0,2.0,3.0,3,3,8.387526183970852,0
86,87.0,0,35.0,Travel_Rarely,Sales,16.0,2,Technical Degree,1.0,Male,3,Manager,Single,25440.0,0.0,Y,13.0,8.0,1,17.0,3.0,16.0,0.0,13.0,3.0,2.0,3.0,4,3,7.912038626609444,0
87,88.0,0,23.0,Travel_Rarely,Research & Development,20.0,4,Life Sciences,1.0,Male,1,Manufacturing Director,Divorced,53990.0,1.0,Y,23.0,8.0,0,4.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0,2,4,7.105291842475386,0
88,89.0,0,41.0,Travel_Rarely,Research & Development,9.0,2,Life Sciences,1.0,Female,1,Laboratory Technician,Single,54870.0,6.0,Y,19.0,8.0,2,8.0,0.0,5.0,1.0,2.0,4.0,2.0,3.0,3,3,9.68863319386332,0
89,90.0,0,47.0,Travel_Frequently,Sales,1.0,3,Medical,1.0,Female,2,Laboratory Technician,Single,68340.0,3.0,Y,16.0,8.0,1,5.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,4,3,7.77034751278475,0
90,91.0,0,42.0,Travel_Rarely,Research & Development,3.0,4,Life Sciences,1.0,Male,1,Manager,Single,10910.0,2.0,Y,22.0,8.0,0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,1,4,6.284280356305675,0
91,92.0,0,29.0,Non-Travel,Sales,22.0,4,Marketing,1.0,Male,2,Human Resources,Married,57360.0,1.0,Y,22.0,8.0,0,4.0,1.0,4.0,0.0,2.0,4.0,3.0,2.0,2,4,6.306108726752502,0
92,93.0,0,42.0,Travel_Rarely,Sales,7.0,4,Medical,1.0,Male,3,Research Scientist,Divorced,22260.0,0.0,Y,12.0,8.0,1,4.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2,3,8.831585038986356,0
93,94.0,0,32.0,Travel_Rarely,Research & Development,2.0,3,Medical,1.0,Male,2,Research Scientist,Married,57470.0,1.0,Y,13.0,8.0,0,8.0,0.0,8.0,0.0,7.0,3.0,2.0,3.0,3,3,7.722377344877349,0
94,95.0,0,48.0,Travel_Rarely,Sales,13.0,4,Medical,1.0,Male,4,Sales Executive,Married,98540.0,3.0,Y,16.0,8.0,1,15.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2,3,7.317479732951837,0
95,96.0,0,37.0,Travel_Rarely,Research & Development,8.0,5,Technical Degree,1.0,Male,2,Manufacturing Director,Divorced,54670.0,4.0,Y,12.0,8.0,0,13.0,2.0,7.0,6.0,7.0,3.0,1.0,3.0,3,3,10.79826248313091,0
96,97.0,0,30.0,Non-Travel,Sales,25.0,4,Other,1.0,Male,1,Healthcare Representative,Married,53800.0,7.0,Y,21.0,8.0,1,4.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,3,4,10.401363945578227,0
97,98.0,0,26.0,Travel_Rarely,Sales,28.0,3,Medical,1.0,Female,5,Laboratory Technician,Married,51510.0,1.0,Y,15.0,8.0,3,8.0,3.0,8.0,7.0,7.0,3.0,3.0,3.0,3,3,5.994326703246456,0
98,99.0,0,42.0,Travel_Rarely,Sales,2.0,2,Medical,1.0,Female,1,Laboratory Technician,Single,21330.0,3.0,Y,13.0,8.0,2,14.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,3,3,6.113110181311016,0
99,100.0,1,21.0,Travel_Frequently,Research & Development,9.0,3,Medical,1.0,Female,4,Manufacturing Director,Single,178750.0,1.0,Y,12.0,8.0,0,3.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,2,3,8.133578096539159,1
100,101.0,0,36.0,Non-Travel,Human Resources,28.0,3,Human Resources,1.0,Male,2,Laboratory Technician,Single,24320.0,4.0,Y,22.0,8.0,0,7.0,4.0,1.0,0.0,0.0,4.0,4.0,3.0,1,4,7.306164990421451,0
101,102.0,0,36.0,Travel_Frequently,Research & Development,6.0,3,Life Sciences,1.0,Female,2,Research Scientist,Married,47710.0,4.0,Y,13.0,8.0,1,16.0,2.0,13.0,1.0,12.0,1.0,4.0,3.0,3,3,7.10503034547152,0
102,103.0,0,57.0,Travel_Rarely,Research & Development,21.0,4,Life Sciences,1.0,Male,5,Research Scientist,Married,191610.0,2.0,Y,18.0,8.0,0,15.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1,3,6.327729314420805,0
103,104.0,0,40.0,Travel_Rarely,Research & Development,8.0,3,Other,1.0,Male,2,Sales Executive,Married,50870.0,3.0,Y,14.0,8.0,1,10.0,3.0,7.0,1.0,7.0,4.0,3.0,3.0,3,3,8.128512160228896,0
104,105.0,0,21.0,Non-Travel,Research & Development,1.0,5,Life Sciences,1.0,Female,2,Manager,Single,28630.0,1.0,Y,14.0,8.0,0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1,3,7.986432557011164,0
105,106.0,1,33.0,Travel_Rarely,Human Resources,28.0,2,Human Resources,1.0,Female,5,Manager,Single,55610.0,1.0,Y,21.0,8.0,1,1.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0,1,4,10.50909692159692,1
106,107.0,0,37.0,Travel_Rarely,Research & Development,5.0,3,Life Sciences,1.0,Male,4,Research Scientist,Married,21440.0,6.0,Y,19.0,8.0,0,17.0,3.0,5.0,0.0,3.0,3.0,1.0,3.0,4,3,7.993284030784035,0
107,108.0,0,46.0,Non-Travel,Sales,2.0,4,Marketing,1.0,Female,2,Laboratory Technician,Married,30650.0,2.0,Y,11.0,8.0,0,7.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0,3,3,6.103653752436648,0
