,attrition,age,distancefromhome,monthlyincome,numcompaniesworked,percentsalaryhike,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,mean_time,businesstravel_Non-Travel,businesstravel_Travel_Frequently,businesstravel_Travel_Rarely,department_Human Resources,department_Research & Development,department_Sales,education_1,education_2,education_3,education_4,education_5,educationfield_Human Resources,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Female,gender_Male,joblevel_1,joblevel_2,joblevel_3,joblevel_4,joblevel_5,jobrole_Healthcare Representative,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,maritalstatus_Divorced,maritalstatus_Married,maritalstatus_Single,stockoptionlevel_0,stockoptionlevel_1,stockoptionlevel_2,stockoptionlevel_3,environmentsatisfaction_1.0,environmentsatisfaction_2.0,environmentsatisfaction_3.0,environmentsatisfaction_4.0,jobsatisfaction_1.0,jobsatisfaction_2.0,jobsatisfaction_3.0,jobsatisfaction_4.0,worklifebalance_1.0,worklifebalance_2.0,worklifebalance_3.0,worklifebalance_4.0,jobinvolvement_1,jobinvolvement_2,jobinvolvement_3,jobinvolvement_4,performancerating_3,performancerating_4
10,0,45.0,17.0,79910.0,0.0,13.0,21.0,2.0,20.0,4.0,10.0,8.403485477178425,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
11,0,36.0,28.0,33770.0,0.0,12.0,16.0,2.0,15.0,10.0,11.0,7.0689545873674495,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
12,0,55.0,14.0,55380.0,0.0,17.0,37.0,2.0,36.0,4.0,13.0,9.301409509946629,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
13,1,47.0,1.0,57620.0,1.0,11.0,10.0,4.0,10.0,9.0,9.0,9.399931442080378,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
14,0,28.0,1.0,25920.0,1.0,14.0,5.0,2.0,5.0,0.0,4.0,6.089687644075612,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
15,0,37.0,1.0,53460.0,4.0,11.0,7.0,2.0,5.0,0.0,1.0,6.705174636661979,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
16,0,21.0,3.0,42130.0,1.0,12.0,3.0,3.0,3.0,1.0,0.0,6.61904062652961,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
17,0,37.0,1.0,41270.0,2.0,13.0,15.0,2.0,5.0,0.0,2.0,11.01432813911473,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
18,0,35.0,7.0,24380.0,7.0,16.0,10.0,5.0,7.0,6.0,2.0,6.960253831417621,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
19,0,38.0,8.0,68700.0,1.0,11.0,8.0,5.0,8.0,7.0,7.0,9.293555796055797,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
20,0,26.0,1.0,104470.0,1.0,18.0,6.0,3.0,6.0,1.0,4.0,7.590778256704984,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
21,0,50.0,8.0,96670.0,3.0,23.0,28.0,2.0,10.0,1.0,6.0,6.008613495469727,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
22,0,53.0,11.0,21480.0,3.0,11.0,21.0,2.0,5.0,1.0,3.0,8.4021084770115,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
23,0,42.0,4.0,89260.0,1.0,14.0,10.0,4.0,20.0,11.0,6.0,6.807005280073463,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
24,0,29.0,16.0,65130.0,1.0,11.0,10.0,2.0,10.0,0.0,9.0,7.093167388167388,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
25,0,55.0,1.0,67990.0,3.0,11.0,12.0,2.0,10.0,0.0,8.0,9.362002074688798,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
26,0,26.0,9.0,162910.0,1.0,22.0,5.0,3.0,5.0,3.0,3.0,10.97712343096233,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
27,0,37.0,5.0,27050.0,1.0,11.0,17.0,2.0,17.0,5.0,7.0,7.604444444444441,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
28,1,44.0,1.0,103330.0,3.0,14.0,19.0,2.0,1.0,0.0,0.0,10.977585733882028,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
29,0,38.0,2.0,44480.0,9.0,12.0,10.0,3.0,2.0,1.0,2.0,6.831275362318841,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
30,1,26.0,4.0,68540.0,2.0,11.0,5.0,5.0,3.0,0.0,2.0,10.10940826330532,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
31,0,28.0,7.0,96370.0,1.0,13.0,5.0,6.0,5.0,0.0,2.0,6.709665977961435,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
32,0,49.0,1.0,35910.0,9.0,13.0,22.0,2.0,3.0,1.0,2.0,10.518214624881294,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
33,0,36.0,5.0,54050.0,4.0,14.0,10.0,2.0,8.0,7.0,7.0,6.1828875171467805,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
34,0,31.0,9.0,46840.0,1.0,16.0,2.0,4.0,2.0,2.0,2.0,6.58638888888889,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
35,1,26.0,8.0,157870.0,1.0,12.0,8.0,5.0,8.0,7.0,4.0,10.272241379310357,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
36,0,37.0,9.0,15140.0,1.0,14.0,4.0,3.0,4.0,1.0,2.0,9.982733011937556,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
37,0,42.0,2.0,29560.0,5.0,13.0,23.0,2.0,20.0,4.0,8.0,5.979567632850237,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
38,1,18.0,1.0,23350.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,6.775967939304944,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
39,0,35.0,20.0,51540.0,0.0,19.0,12.0,2.0,11.0,6.0,9.0,7.69016039051604,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
40,0,36.0,8.0,69620.0,4.0,12.0,4.0,2.0,1.0,0.0,0.0,7.204732468123861,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
41,0,51.0,2.0,56750.0,5.0,13.0,13.0,2.0,4.0,1.0,2.0,7.594769503546106,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
42,0,41.0,29.0,23790.0,1.0,12.0,22.0,6.0,22.0,0.0,4.0,6.952642332415064,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
43,0,18.0,7.0,38120.0,1.0,15.0,0.0,3.0,0.0,0.0,0.0,7.008878472222221,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
44,0,28.0,9.0,46480.0,0.0,23.0,9.0,2.0,8.0,0.0,7.0,7.2015733151184005,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
45,0,31.0,8.0,29360.0,4.0,12.0,10.0,2.0,8.0,7.0,7.0,7.172875000000004,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
46,0,39.0,5.0,21050.0,0.0,20.0,19.0,3.0,18.0,3.0,7.0,7.63680141843972,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
47,0,36.0,5.0,85780.0,7.0,21.0,11.0,4.0,9.0,0.0,8.0,7.832781293952177,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
48,0,32.0,2.0,27060.0,1.0,21.0,13.0,4.0,13.0,4.0,8.0,6.974765051395007,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
49,0,38.0,5.0,63840.0,3.0,19.0,19.0,4.0,10.0,0.0,1.0,6.906424220272908,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
50,0,58.0,2.0,39680.0,2.0,13.0,12.0,3.0,5.0,1.0,2.0,10.895463728191,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
51,0,31.0,20.0,99070.0,0.0,13.0,6.0,3.0,5.0,0.0,3.0,9.125665729020168,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
52,0,31.0,7.0,132250.0,3.0,21.0,9.0,2.0,2.0,1.0,0.0,6.831459786145981,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
53,0,45.0,3.0,35400.0,1.0,13.0,24.0,6.0,24.0,9.0,11.0,7.316049905838043,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
54,0,31.0,16.0,28040.0,0.0,19.0,3.0,0.0,2.0,2.0,2.0,8.610798041894355,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
55,0,33.0,9.0,193920.0,6.0,12.0,12.0,3.0,10.0,8.0,8.0,6.784845288326301,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
56,0,39.0,1.0,196650.0,1.0,22.0,21.0,6.0,21.0,11.0,10.0,10.98609977324263,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
57,0,43.0,7.0,24390.0,0.0,15.0,9.0,2.0,8.0,1.0,7.0,7.686584679393045,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
58,0,49.0,1.0,73140.0,7.0,22.0,25.0,2.0,7.0,0.0,7.0,9.948856881572926,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
59,1,52.0,7.0,47740.0,2.0,18.0,11.0,2.0,8.0,7.0,7.0,7.905527661552767,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
60,0,27.0,15.0,39020.0,1.0,22.0,4.0,2.0,4.0,1.0,2.0,10.672414617486345,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
61,0,32.0,1.0,26620.0,1.0,11.0,13.0,6.0,13.0,11.0,9.0,10.496171548117148,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
62,0,27.0,13.0,28560.0,1.0,12.0,5.0,5.0,5.0,0.0,4.0,10.069261664261662,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
63,0,31.0,24.0,10810.0,4.0,11.0,13.0,4.0,7.0,1.0,7.0,6.607014174668497,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
64,0,32.0,7.0,24720.0,7.0,13.0,10.0,2.0,7.0,0.0,7.0,7.497914908579468,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
65,1,28.0,9.0,56730.0,5.0,14.0,5.0,4.0,3.0,2.0,2.0,10.727235717498877,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
66,0,30.0,13.0,41970.0,1.0,13.0,11.0,3.0,10.0,1.0,9.0,6.184816810344828,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
67,0,31.0,2.0,97130.0,1.0,17.0,10.0,5.0,10.0,8.0,9.0,6.609300048947632,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
68,0,39.0,19.0,20620.0,1.0,13.0,21.0,4.0,21.0,13.0,3.0,6.076246345029246,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
69,1,39.0,1.0,42840.0,4.0,17.0,12.0,0.0,1.0,0.0,0.0,9.971745709123756,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
70,0,33.0,4.0,47880.0,3.0,11.0,9.0,0.0,7.0,0.0,1.0,7.421452020202019,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
71,0,47.0,4.0,59060.0,4.0,23.0,21.0,4.0,3.0,1.0,1.0,6.493810013717424,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
72,0,43.0,14.0,38860.0,1.0,17.0,9.0,2.0,9.0,0.0,0.0,6.299470449172581,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
73,0,27.0,2.0,168230.0,0.0,17.0,6.0,3.0,5.0,1.0,4.0,9.316973304473308,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
