,employeeid,attrition,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
10,11.0,No,45.0,Travel_Rarely,Research & Development,17.0,2,Medical,1.0,Male,2,Laboratory Technician,Married,79910.0,0.0,Y,13.0,8.0,2,21.0,2.0,20.0,4.0,10.0,3.0,4.0,3.0,2,3,8.403485477178425
11,12.0,No,36.0,Travel_Rarely,Research & Development,28.0,1,Life Sciences,1.0,Male,1,Laboratory Technician,Married,33770.0,0.0,Y,12.0,8.0,2,16.0,2.0,15.0,10.0,11.0,3.0,4.0,3.0,3,3,7.0689545873674495
12,13.0,No,55.0,Travel_Rarely,Research & Development,14.0,4,Life Sciences,1.0,Female,1,Sales Executive,Single,55380.0,0.0,Y,17.0,8.0,0,37.0,2.0,36.0,4.0,13.0,4.0,1.0,3.0,3,3,9.301409509946627
13,14.0,Yes,47.0,Non-Travel,Research & Development,1.0,1,Medical,1.0,Male,1,Research Scientist,Married,57620.0,1.0,Y,11.0,8.0,2,10.0,4.0,10.0,9.0,9.0,1.0,2.0,2.0,2,3,9.399931442080378
14,15.0,No,28.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,1,Manufacturing Director,Married,25920.0,1.0,Y,14.0,8.0,0,5.0,2.0,5.0,0.0,4.0,4.0,4.0,2.0,3,3,6.089687644075612
15,16.0,No,37.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,2,Healthcare Representative,Married,53460.0,4.0,Y,11.0,8.0,0,7.0,2.0,5.0,0.0,1.0,3.0,4.0,4.0,3,3,6.705174636661979
16,17.0,No,21.0,Travel_Rarely,Research & Development,3.0,2,Life Sciences,1.0,Male,1,Laboratory Technician,Single,42130.0,1.0,Y,12.0,8.0,3,3.0,3.0,3.0,1.0,0.0,4.0,3.0,4.0,2,3,6.61904062652961
17,18.0,No,37.0,Non-Travel,Research & Development,1.0,3,Medical,1.0,Male,2,Sales Executive,Divorced,41270.0,2.0,Y,13.0,8.0,1,15.0,2.0,5.0,0.0,2.0,1.0,4.0,3.0,3,3,11.01432813911473
18,19.0,No,35.0,Travel_Rarely,Sales,7.0,4,Life Sciences,1.0,Male,1,Sales Representative,Divorced,24380.0,7.0,Y,16.0,8.0,0,10.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,2,3,6.960253831417621
19,20.0,No,38.0,Travel_Rarely,Research & Development,8.0,3,Life Sciences,1.0,Female,1,Manager,Divorced,68700.0,1.0,Y,11.0,8.0,1,8.0,5.0,8.0,7.0,7.0,1.0,1.0,3.0,3,3,9.293555796055797
20,21.0,No,26.0,Travel_Frequently,Research & Development,1.0,4,Other,1.0,Male,2,Laboratory Technician,Divorced,104470.0,1.0,Y,18.0,8.0,0,6.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0,3,3,7.590778256704984
21,22.0,No,50.0,Travel_Rarely,Sales,8.0,4,Life Sciences,1.0,Male,1,Research Scientist,Divorced,96670.0,3.0,Y,23.0,8.0,0,28.0,2.0,10.0,1.0,6.0,1.0,2.0,2.0,2,4,6.008613495469727
22,23.0,No,53.0,Travel_Rarely,Research & Development,11.0,4,Life Sciences,1.0,Female,2,Research Scientist,Married,21480.0,3.0,Y,11.0,8.0,0,21.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,3,3,8.4021084770115
23,24.0,No,42.0,Travel_Rarely,Research & Development,4.0,4,Life Sciences,1.0,Male,1,Manufacturing Director,Married,89260.0,1.0,Y,14.0,8.0,0,10.0,4.0,20.0,11.0,6.0,2.0,3.0,3.0,1,3,6.807005280073463
24,25.0,No,29.0,Travel_Frequently,Research & Development,16.0,4,Medical,1.0,Male,1,Laboratory Technician,Single,65130.0,1.0,Y,11.0,8.0,1,10.0,2.0,10.0,0.0,9.0,2.0,4.0,2.0,3,3,7.093167388167388
25,26.0,No,55.0,Travel_Rarely,Research & Development,1.0,4,Other,1.0,Female,1,Research Scientist,Married,67990.0,3.0,Y,11.0,8.0,0,12.0,2.0,10.0,0.0,8.0,2.0,4.0,3.0,3,3,9.362002074688798
26,27.0,No,26.0,Travel_Frequently,Research & Development,9.0,3,Life Sciences,1.0,Female,1,Manager,Married,162910.0,1.0,Y,22.0,8.0,0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,3,4,10.97712343096233
27,28.0,No,37.0,Travel_Rarely,Sales,5.0,1,Marketing,1.0,Male,1,Research Scientist,Single,27050.0,1.0,Y,11.0,8.0,0,17.0,2.0,17.0,5.0,7.0,4.0,4.0,3.0,3,3,7.604444444444441
28,29.0,Yes,44.0,Travel_Frequently,Research & Development,1.0,2,Medical,1.0,Male,2,Research Scientist,Divorced,103330.0,3.0,Y,14.0,8.0,1,19.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2,3,10.977585733882028
29,30.0,No,38.0,Travel_Rarely,Sales,2.0,3,Marketing,1.0,Female,1,Manager,Divorced,44480.0,9.0,Y,12.0,8.0,0,10.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2,3,6.831275362318841
30,31.0,Yes,26.0,Travel_Rarely,Research & Development,4.0,3,Medical,1.0,Male,3,Research Scientist,Divorced,68540.0,2.0,Y,11.0,8.0,0,5.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0,2,3,10.10940826330532
31,32.0,No,28.0,Travel_Rarely,Research & Development,7.0,3,Other,1.0,Male,1,Human Resources,Single,96370.0,1.0,Y,13.0,8.0,0,5.0,6.0,5.0,0.0,2.0,4.0,4.0,3.0,2,3,6.709665977961435
32,33.0,No,49.0,Travel_Frequently,Research & Development,1.0,1,Medical,1.0,Female,2,Research Scientist,Single,35910.0,9.0,Y,13.0,8.0,0,22.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3,3,10.518214624881294
33,34.0,No,36.0,Travel_Rarely,Sales,5.0,3,Technical Degree,1.0,Male,3,Sales Executive,Single,54050.0,4.0,Y,14.0,8.0,0,10.0,2.0,8.0,7.0,7.0,3.0,2.0,3.0,3,3,6.1828875171467805
34,35.0,No,31.0,Travel_Frequently,Research & Development,9.0,4,Medical,1.0,Male,1,Sales Executive,Divorced,46840.0,1.0,Y,16.0,8.0,1,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3,3,6.58638888888889
35,36.0,Yes,26.0,Travel_Rarely,Research & Development,8.0,3,Medical,1.0,Male,2,Manager,Single,157870.0,1.0,Y,12.0,8.0,2,8.0,5.0,8.0,7.0,4.0,4.0,4.0,3.0,3,3,10.272241379310355
36,37.0,No,37.0,Travel_Frequently,Sales,9.0,1,Marketing,1.0,Male,1,Laboratory Technician,Married,15140.0,1.0,Y,14.0,8.0,0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,3,3,9.982733011937555
37,38.0,No,42.0,Travel_Frequently,Sales,2.0,2,Marketing,1.0,Male,3,Research Director,Married,29560.0,5.0,Y,13.0,8.0,0,23.0,2.0,20.0,4.0,8.0,3.0,2.0,4.0,3,3,5.979567632850237
38,39.0,Yes,18.0,Travel_Rarely,Research & Development,1.0,4,Life Sciences,1.0,Male,1,Sales Executive,Single,23350.0,1.0,Y,14.0,8.0,2,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,2,3,6.775967939304944
39,40.0,No,35.0,Travel_Rarely,Sales,20.0,2,Life Sciences,1.0,Male,1,Laboratory Technician,Married,51540.0,0.0,Y,19.0,8.0,0,12.0,2.0,11.0,6.0,9.0,3.0,2.0,2.0,2,3,7.6901603905160405
40,41.0,No,36.0,Travel_Frequently,Research & Development,8.0,3,Other,1.0,Female,3,Sales Executive,Married,69620.0,4.0,Y,12.0,8.0,2,4.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,2,3,7.204732468123861
41,42.0,No,51.0,Travel_Rarely,Research & Development,2.0,3,Life Sciences,1.0,Male,2,Laboratory Technician,Divorced,56750.0,5.0,Y,13.0,8.0,0,13.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2,3,7.594769503546106
42,43.0,No,41.0,Travel_Rarely,Research & Development,29.0,1,Life Sciences,1.0,Male,1,Laboratory Technician,Single,23790.0,1.0,Y,12.0,8.0,0,22.0,6.0,22.0,0.0,4.0,4.0,2.0,3.0,3,3,6.952642332415064
43,44.0,No,18.0,Travel_Rarely,Sales,7.0,3,Life Sciences,1.0,Male,1,Research Scientist,Single,38120.0,1.0,Y,15.0,8.0,0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,3,3,7.008878472222221
44,45.0,No,28.0,Travel_Rarely,Research & Development,9.0,3,Medical,1.0,Male,1,Sales Representative,Single,46480.0,0.0,Y,23.0,8.0,2,9.0,2.0,8.0,0.0,7.0,2.0,1.0,3.0,2,4,7.2015733151184005
45,46.0,No,31.0,Travel_Rarely,Research & Development,8.0,1,Technical Degree,1.0,Male,1,Manufacturing Director,Married,29360.0,4.0,Y,12.0,8.0,1,10.0,2.0,8.0,7.0,7.0,2.0,4.0,2.0,3,3,7.172875000000004
46,47.0,No,39.0,Travel_Rarely,Sales,5.0,4,Marketing,1.0,Female,2,Human Resources,Divorced,21050.0,0.0,Y,20.0,8.0,0,19.0,3.0,18.0,3.0,7.0,3.0,4.0,2.0,3,4,7.63680141843972
47,48.0,No,36.0,Non-Travel,Research & Development,5.0,4,Life Sciences,1.0,Male,1,Sales Executive,Married,85780.0,7.0,Y,21.0,8.0,0,11.0,4.0,9.0,0.0,8.0,2.0,2.0,3.0,3,4,7.832781293952177
48,49.0,No,32.0,Travel_Rarely,Sales,2.0,3,Marketing,1.0,Male,2,Laboratory Technician,Married,27060.0,1.0,Y,21.0,8.0,1,13.0,4.0,13.0,4.0,8.0,4.0,3.0,2.0,3,4,6.974765051395007
49,50.0,No,38.0,Travel_Rarely,Research & Development,5.0,2,Life Sciences,1.0,Female,3,Research Scientist,Married,63840.0,3.0,Y,19.0,8.0,2,19.0,4.0,10.0,0.0,1.0,1.0,2.0,3.0,2,3,6.906424220272908
50,51.0,No,58.0,Non-Travel,Research & Development,2.0,3,Life Sciences,1.0,Male,2,Manufacturing Director,Divorced,39680.0,2.0,Y,13.0,8.0,2,12.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,2,3,10.895463728191
51,52.0,No,31.0,Travel_Rarely,Research & Development,20.0,1,Technical Degree,1.0,Female,3,Research Scientist,Married,99070.0,0.0,Y,13.0,8.0,1,6.0,3.0,5.0,0.0,3.0,3.0,4.0,3.0,2,3,9.125665729020167
52,53.0,No,31.0,Travel_Rarely,Sales,7.0,4,Marketing,1.0,Male,2,Sales Executive,Married,132250.0,3.0,Y,21.0,8.0,1,9.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3,4,6.831459786145981
53,54.0,No,45.0,Travel_Frequently,Research & Development,3.0,1,Medical,1.0,Female,1,Sales Executive,Divorced,35400.0,1.0,Y,13.0,8.0,0,24.0,6.0,24.0,9.0,11.0,1.0,1.0,3.0,3,3,7.316049905838043
54,55.0,No,31.0,Travel_Rarely,Sales,16.0,4,Marketing,1.0,Female,2,Research Scientist,Divorced,28040.0,0.0,Y,19.0,8.0,2,3.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,3,3,8.610798041894355
55,56.0,No,33.0,Travel_Frequently,Research & Development,9.0,3,Life Sciences,1.0,Male,4,Research Director,Married,193920.0,6.0,Y,12.0,8.0,1,12.0,3.0,10.0,8.0,8.0,4.0,2.0,3.0,3,3,6.784845288326301
56,57.0,No,39.0,Travel_Rarely,Sales,1.0,4,Life Sciences,1.0,Male,1,Sales Executive,Married,196650.0,1.0,Y,22.0,8.0,1,21.0,6.0,21.0,11.0,10.0,3.0,1.0,3.0,3,4,10.98609977324263
57,58.0,No,43.0,Travel_Frequently,Research & Development,7.0,4,Medical,1.0,Male,4,Research Scientist,Single,24390.0,0.0,Y,15.0,8.0,0,9.0,2.0,8.0,1.0,7.0,3.0,4.0,3.0,3,3,7.686584679393045
58,59.0,No,49.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,3,Manufacturing Director,Single,73140.0,7.0,Y,22.0,8.0,0,25.0,2.0,7.0,0.0,7.0,3.0,3.0,3.0,3,4,9.948856881572926
59,60.0,Yes,52.0,Travel_Rarely,Research & Development,7.0,1,Life Sciences,1.0,Female,2,Research Scientist,Married,47740.0,2.0,Y,18.0,8.0,1,11.0,2.0,8.0,7.0,7.0,3.0,2.0,2.0,3,3,7.905527661552767
60,61.0,No,27.0,Travel_Rarely,Research & Development,15.0,4,Medical,1.0,Male,3,Research Scientist,Single,39020.0,1.0,Y,22.0,8.0,0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3,4,10.672414617486345
61,62.0,No,32.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,3,Research Scientist,Married,26620.0,1.0,Y,11.0,8.0,1,13.0,6.0,13.0,11.0,9.0,3.0,2.0,3.0,4,3,10.496171548117148
62,63.0,No,27.0,Travel_Rarely,Research & Development,13.0,2,Medical,1.0,Female,4,Research Director,Single,28560.0,1.0,Y,12.0,8.0,2,5.0,5.0,5.0,0.0,4.0,4.0,3.0,3.0,4,3,10.069261664261662
63,64.0,No,31.0,Travel_Rarely,Sales,24.0,3,Life Sciences,1.0,Male,2,Healthcare Representative,Divorced,10810.0,4.0,Y,11.0,8.0,3,13.0,4.0,7.0,1.0,7.0,4.0,4.0,3.0,4,3,6.607014174668497
64,65.0,No,32.0,Travel_Rarely,Research & Development,7.0,3,Technical Degree,1.0,Male,2,Healthcare Representative,Single,24720.0,7.0,Y,13.0,8.0,0,10.0,2.0,7.0,0.0,7.0,1.0,4.0,2.0,3,3,7.497914908579468
65,66.0,Yes,28.0,Travel_Rarely,Research & Development,9.0,4,Medical,1.0,Male,1,Sales Executive,Married,56730.0,5.0,Y,14.0,8.0,1,5.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2,3,10.727235717498875
66,67.0,No,30.0,Travel_Rarely,Research & Development,13.0,3,Life Sciences,1.0,Female,4,Research Director,Married,41970.0,1.0,Y,13.0,8.0,0,11.0,3.0,10.0,1.0,9.0,4.0,4.0,3.0,3,3,6.184816810344828
67,68.0,No,31.0,Travel_Frequently,Research & Development,2.0,1,Life Sciences,1.0,Female,1,Manager,Married,97130.0,1.0,Y,17.0,8.0,0,10.0,5.0,10.0,8.0,9.0,3.0,3.0,3.0,2,3,6.609300048947632
68,69.0,No,39.0,Travel_Frequently,Research & Development,19.0,4,Medical,1.0,Female,1,Research Scientist,Married,20620.0,1.0,Y,13.0,8.0,0,21.0,4.0,21.0,13.0,3.0,3.0,4.0,3.0,3,3,6.076246345029246
69,70.0,Yes,39.0,Travel_Rarely,Research & Development,1.0,1,Medical,1.0,Female,1,Laboratory Technician,Married,42840.0,4.0,Y,17.0,8.0,1,12.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,3,3,9.971745709123756
70,71.0,No,33.0,Travel_Frequently,Sales,4.0,2,Life Sciences,1.0,Male,4,Research Scientist,Single,47880.0,3.0,Y,11.0,8.0,1,9.0,0.0,7.0,0.0,1.0,2.0,4.0,2.0,3,3,7.421452020202019
71,72.0,No,47.0,Travel_Rarely,Research & Development,4.0,3,Life Sciences,1.0,Female,2,Healthcare Representative,Married,59060.0,4.0,Y,23.0,8.0,0,21.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,4,4,6.4938100137174235
72,73.0,No,43.0,Travel_Frequently,Research & Development,14.0,3,Medical,1.0,Female,5,Research Director,Divorced,38860.0,1.0,Y,17.0,8.0,2,9.0,2.0,9.0,0.0,0.0,3.0,3.0,4.0,3,3,6.299470449172581
73,74.0,No,27.0,Non-Travel,Research & Development,2.0,3,Life Sciences,1.0,Male,1,Research Director,Married,168230.0,0.0,Y,17.0,8.0,0,6.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,3,3,9.316973304473308
74,75.0,No,54.0,Travel_Frequently,Research & Development,1.0,4,Life Sciences,1.0,Male,2,Research Scientist,Single,29330.0,3.0,Y,12.0,8.0,2,20.0,2.0,4.0,0.0,3.0,4.0,3.0,2.0,3,3,6.097862787356321
75,76.0,No,43.0,Travel_Rarely,Research & Development,7.0,2,Life Sciences,1.0,Female,2,Manager,Married,65000.0,8.0,Y,23.0,8.0,0,10.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,3,4,7.217327264239031
76,77.0,No,45.0,Travel_Rarely,Sales,3.0,1,Marketing,1.0,Female,1,Sales Executive,Married,171740.0,9.0,Y,14.0,8.0,1,12.0,6.0,10.0,9.0,8.0,4.0,4.0,3.0,3,3,7.100070018365477
77,78.0,No,40.0,Travel_Rarely,Research & Development,2.0,4,Other,1.0,Male,4,Research Scientist,Married,50330.0,2.0,Y,14.0,8.0,2,6.0,6.0,4.0,0.0,2.0,2.0,4.0,2.0,3,3,9.914107744107735
78,79.0,Yes,29.0,Travel_Rarely,Research & Development,29.0,3,Medical,1.0,Female,1,Research Scientist,Married,23070.0,1.0,Y,13.0,8.0,1,7.0,0.0,7.0,0.0,7.0,2.0,1.0,2.0,3,3,10.477788647343003
79,80.0,No,29.0,Travel_Rarely,Human Resources,8.0,3,Medical,1.0,Male,3,Sales Representative,Single,25870.0,0.0,Y,22.0,8.0,2,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3,4,6.906938633193863
80,81.0,No,30.0,Travel_Rarely,Research & Development,10.0,3,Life Sciences,1.0,Male,2,Research Scientist,Divorced,55070.0,1.0,Y,12.0,8.0,2,10.0,2.0,10.0,1.0,2.0,4.0,3.0,3.0,2,3,7.58909243295019
81,82.0,No,27.0,Travel_Rarely,Research & Development,11.0,2,Medical,1.0,Male,1,Manager,Married,43930.0,1.0,Y,18.0,8.0,1,8.0,2.0,8.0,0.0,7.0,2.0,2.0,3.0,2,3,6.079724499089256
82,83.0,No,37.0,Travel_Rarely,Sales,1.0,4,Life Sciences,1.0,Male,2,Healthcare Representative,Divorced,133480.0,7.0,Y,14.0,8.0,0,8.0,4.0,6.0,0.0,4.0,4.0,4.0,2.0,3,3,6.001112288135594
83,84.0,No,38.0,Travel_Rarely,Research & Development,28.0,4,Medical,1.0,Male,1,Laboratory Technician,Divorced,65830.0,0.0,Y,12.0,8.0,0,12.0,1.0,11.0,2.0,9.0,3.0,4.0,3.0,3,3,8.983123278236906
84,85.0,No,31.0,Travel_Rarely,Research & Development,6.0,3,Medical,1.0,Female,3,Manager,Single,81030.0,1.0,Y,15.0,8.0,1,11.0,5.0,11.0,4.0,10.0,3.0,4.0,3.0,3,3,10.426184640522866
85,86.0,No,29.0,Travel_Rarely,Research & Development,3.0,4,Life Sciences,1.0,Male,3,Sales Executive,Divorced,39780.0,1.0,Y,11.0,8.0,0,7.0,0.0,7.0,1.0,7.0,4.0,2.0,3.0,3,3,8.387526183970852
86,87.0,No,35.0,Travel_Rarely,Sales,16.0,2,Technical Degree,1.0,Male,3,Manager,Single,25440.0,0.0,Y,13.0,8.0,1,17.0,3.0,16.0,0.0,13.0,3.0,2.0,3.0,4,3,7.912038626609444
87,88.0,No,23.0,Travel_Rarely,Research & Development,20.0,4,Life Sciences,1.0,Male,1,Manufacturing Director,Divorced,53990.0,1.0,Y,23.0,8.0,0,4.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0,2,4,7.105291842475386
88,89.0,No,41.0,Travel_Rarely,Research & Development,9.0,2,Life Sciences,1.0,Female,1,Laboratory Technician,Single,54870.0,6.0,Y,19.0,8.0,2,8.0,0.0,5.0,1.0,2.0,4.0,2.0,3.0,3,3,9.68863319386332
89,90.0,No,47.0,Travel_Frequently,Sales,1.0,3,Medical,1.0,Female,2,Laboratory Technician,Single,68340.0,3.0,Y,16.0,8.0,1,5.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,4,3,7.77034751278475
90,91.0,No,42.0,Travel_Rarely,Research & Development,3.0,4,Life Sciences,1.0,Male,1,Manager,Single,10910.0,2.0,Y,22.0,8.0,0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,1,4,6.284280356305675
91,92.0,No,29.0,Non-Travel,Sales,22.0,4,Marketing,1.0,Male,2,Human Resources,Married,57360.0,1.0,Y,22.0,8.0,0,4.0,1.0,4.0,0.0,2.0,4.0,3.0,2.0,2,4,6.306108726752502
92,93.0,No,42.0,Travel_Rarely,Sales,7.0,4,Medical,1.0,Male,3,Research Scientist,Divorced,22260.0,0.0,Y,12.0,8.0,1,4.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2,3,8.831585038986356
93,94.0,No,32.0,Travel_Rarely,Research & Development,2.0,3,Medical,1.0,Male,2,Research Scientist,Married,57470.0,1.0,Y,13.0,8.0,0,8.0,0.0,8.0,0.0,7.0,3.0,2.0,3.0,3,3,7.722377344877349
94,95.0,No,48.0,Travel_Rarely,Sales,13.0,4,Medical,1.0,Male,4,Sales Executive,Married,98540.0,3.0,Y,16.0,8.0,1,15.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2,3,7.317479732951837
95,96.0,No,37.0,Travel_Rarely,Research & Development,8.0,5,Technical Degree,1.0,Male,2,Manufacturing Director,Divorced,54670.0,4.0,Y,12.0,8.0,0,13.0,2.0,7.0,6.0,7.0,3.0,1.0,3.0,3,3,10.79826248313091
96,97.0,No,30.0,Non-Travel,Sales,25.0,4,Other,1.0,Male,1,Healthcare Representative,Married,53800.0,7.0,Y,21.0,8.0,1,4.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,3,4,10.401363945578229
97,98.0,No,26.0,Travel_Rarely,Sales,28.0,3,Medical,1.0,Female,5,Laboratory Technician,Married,51510.0,1.0,Y,15.0,8.0,3,8.0,3.0,8.0,7.0,7.0,3.0,3.0,3.0,3,3,5.994326703246456
98,99.0,No,42.0,Travel_Rarely,Sales,2.0,2,Medical,1.0,Female,1,Laboratory Technician,Single,21330.0,3.0,Y,13.0,8.0,2,14.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,3,3,6.113110181311016
99,100.0,Yes,21.0,Travel_Frequently,Research & Development,9.0,3,Medical,1.0,Female,4,Manufacturing Director,Single,178750.0,1.0,Y,12.0,8.0,0,3.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,2,3,8.133578096539159
100,101.0,No,36.0,Non-Travel,Human Resources,28.0,3,Human Resources,1.0,Male,2,Laboratory Technician,Single,24320.0,4.0,Y,22.0,8.0,0,7.0,4.0,1.0,0.0,0.0,4.0,4.0,3.0,1,4,7.306164990421451
101,102.0,No,36.0,Travel_Frequently,Research & Development,6.0,3,Life Sciences,1.0,Female,2,Research Scientist,Married,47710.0,4.0,Y,13.0,8.0,1,16.0,2.0,13.0,1.0,12.0,1.0,4.0,3.0,3,3,7.10503034547152
102,103.0,No,57.0,Travel_Rarely,Research & Development,21.0,4,Life Sciences,1.0,Male,5,Research Scientist,Married,191610.0,2.0,Y,18.0,8.0,0,15.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1,3,6.327729314420805
103,104.0,No,40.0,Travel_Rarely,Research & Development,8.0,3,Other,1.0,Male,2,Sales Executive,Married,50870.0,3.0,Y,14.0,8.0,1,10.0,3.0,7.0,1.0,7.0,4.0,3.0,3.0,3,3,8.128512160228896
104,105.0,No,21.0,Non-Travel,Research & Development,1.0,5,Life Sciences,1.0,Female,2,Manager,Single,28630.0,1.0,Y,14.0,8.0,0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1,3,7.986432557011164
105,106.0,Yes,33.0,Travel_Rarely,Human Resources,28.0,2,Human Resources,1.0,Female,5,Manager,Single,55610.0,1.0,Y,21.0,8.0,1,1.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0,1,4,10.509096921596921
106,107.0,No,37.0,Travel_Rarely,Research & Development,5.0,3,Life Sciences,1.0,Male,4,Research Scientist,Married,21440.0,6.0,Y,19.0,8.0,0,17.0,3.0,5.0,0.0,3.0,3.0,1.0,3.0,4,3,7.993284030784035
107,108.0,No,46.0,Non-Travel,Sales,2.0,4,Marketing,1.0,Female,2,Laboratory Technician,Married,30650.0,2.0,Y,11.0,8.0,0,7.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0,3,3,6.103653752436648
108,109.0,Yes,41.0,Travel_Frequently,Research & Development,16.0,1,Medical,1.0,Female,1,Research Scientist,Single,28100.0,1.0,Y,11.0,8.0,0,8.0,3.0,8.0,7.0,7.0,1.0,2.0,3.0,4,3,7.587908917501197
109,110.0,No,50.0,Travel_Rarely,Research & Development,9.0,3,Medical,1.0,Female,3,Laboratory Technician,Single,98880.0,6.0,Y,15.0,8.0,0,20.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,3,3,6.890321256038647
